design,architecture_family,target_label,part,luts_used,luts_available,lut_util_pct,regs_used,regs_available,reg_util_pct,dsp_used,dsp_available,dsp_util_pct,bram_tiles_used,bram_tiles_available,bram_util_pct,wns_setup_slack_ns,whs_hold_slack_ns,total_onchip_power_w,dynamic_power_w,static_power_w,warnings_errors
stream_conv3x3_3chan_cell,parallel,Artix-7 35T (baseline),xc7a35tcpg236-1,2731,20800,13.13,1324,41600,3.18,0,90,0.00,0,50,0.00,4.456,0.262,0.120,0.051,0.069,0 errors 0 warnings
stream_conv3x3_3chan_cell,parallel,Artix-7 200T (larger),xc7a200tsbg484-1,2731,134600,2.03,1324,269200,0.49,0,740,0.00,0,365,0.00,4.456,0.262,0.175,0.053,0.122,0 errors 0 warnings
stream_conv3x3_3chan_4out_cell,parallel,Artix-7 35T (baseline),xc7a35tcpg236-1,5020,20800,24.13,3214,41600,7.73,0,90,0.00,0,50,0.00,5.117,0.262,0.177,0.108,0.069,0 errors 0 warnings
stream_conv3x3_3chan_4out_cell,parallel,Artix-7 200T (larger),xc7a200tsbg484-1,5020,134600,3.73,3214,269200,1.19,0,740,0.00,0,365,0.00,5.117,0.262,0.232,0.110,0.122,0 errors 0 warnings
stream_conv3x3_3chan_8out_cell,parallel,Artix-7 35T (baseline),xc7a35tcpg236-1,9374,20800,45.07,5704,41600,13.71,0,90,0.00,0,50,0.00,5.105,0.262,0.271,0.202,0.069,0 errors 0 warnings
stream_conv3x3_3chan_8out_cell,parallel,Artix-7 200T (larger),xc7a200tsbg484-1,9374,134600,6.96,5704,269200,2.12,0,740,0.00,0,365,0.00,5.105,0.262,0.332,0.209,0.123,0 errors 0 warnings
stream_conv3x3_3chan_8out_cell_dsp,dsp_aware,Artix-7 35T (baseline),xc7a35tcpg236-1,6991,20800,33.61,4405,41600,10.59,90,90,100.00,0,50,0.00,2.371,0.262,0.346,0.277,0.069,"0 errors 1 warning (DSP overutilized: used=266 requested vs 90 available, legalized to 90/90)"
stream_conv3x3_3chan_8out_cell_dsp,dsp_aware,Artix-7 200T (larger),xc7a200tsbg484-1,668,134600,0.50,410,269200,0.15,203,740,27.43,0,365,0.00,3.848,0.262,0.373,0.250,0.123,0 errors 0 warnings
conv3x3_dot_time_mux,time_multiplexed,Artix-7 35T (baseline),xc7a35tcpg236-1,205,20800,0.99,214,41600,0.51,0,90,0.00,0,50,0.00,0.656,0.290,0.074,0.006,0.068,0 errors 0 warnings
conv3x3_dot_time_mux,time_multiplexed,Artix-7 200T (larger),xc7a200tsbg484-1,205,134600,0.15,214,269200,0.08,0,740,0.00,0,365,0.00,0.656,0.290,0.128,0.006,0.122,0 errors 0 warnings
conv3x3_3chan_8out_time_mux,time_multiplexed,Artix-7 35T (baseline),xc7a35tcpg236-1,376,20800,1.81,510,41600,1.23,0,90,0.00,0,50,0.00,0.655,0.275,0.076,0.007,0.068,0 errors 0 warnings
conv3x3_3chan_8out_time_mux,time_multiplexed,Artix-7 200T (larger),xc7a200tsbg484-1,376,134600,0.28,510,269200,0.19,0,740,0.00,0,365,0.00,0.655,0.275,0.129,0.007,0.122,0 errors 0 warnings
stream_conv3x3_3chan_8out_time_mux,streaming_time_multiplexed,Artix-7 35T (baseline),xc7a35tcpg236-1,1409,20800,6.77,3328,41600,8.00,0,90,0.00,0,50,0.00,0.600,0.262,0.086,0.017,0.068,"0 errors 1 warning (benign FSM_onehot_state_reg unused, netlist optimization note)"
stream_conv3x3_3chan_8out_time_mux,streaming_time_multiplexed,Artix-7 200T (larger),xc7a200tsbg484-1,1409,134600,1.05,3328,269200,1.24,0,740,0.00,0,365,0.00,0.600,0.262,0.139,0.017,0.122,"0 errors 1 warning (benign FSM_onehot_state_reg unused, netlist optimization note)"
