output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,-21764,-43528,-44464,0,0.00000000
1,0,1,-46843,-93686,-94622,0,0.00000000
2,0,2,-5190,-10380,-11316,0,0.00000000
3,0,3,44500,89000,88064,88064,1.34375000
4,1,0,2648,5296,4360,4360,0.06652832
5,1,1,-25519,-51038,-51974,0,0.00000000
6,1,2,-20837,-41674,-42610,0,0.00000000
7,1,3,-22575,-45150,-46086,0,0.00000000
8,2,0,17171,34342,33406,33406,0.50973511
9,2,1,-17219,-34438,-35374,0,0.00000000
10,2,2,-30207,-60414,-61350,0,0.00000000
11,2,3,-12660,-25320,-26256,0,0.00000000
12,3,0,64529,129058,128122,128122,1.95498657
13,3,1,-7418,-14836,-15772,0,0.00000000
14,3,2,-11959,-23918,-24854,0,0.00000000
15,3,3,-8719,-17438,-18374,0,0.00000000
