output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,16205,1766345,1808305,1808305,1.72453403
1,0,1,14599,1591291,1633251,1633251,1.55758953
2,0,2,-5348,-582932,-540972,0,0.00000000
3,0,3,14059,1532431,1574391,1574391,1.50145626
4,1,0,-7599,-828291,-786331,0,0.00000000
5,1,1,4336,472624,514584,514584,0.49074554
6,1,2,408,44472,86432,86432,0.08242798
7,1,3,11067,1206303,1248263,1248263,1.19043636
8,2,0,-20442,-2228178,-2186218,0,0.00000000
9,2,1,-4832,-526688,-484728,0,0.00000000
10,2,2,9619,1048471,1090431,1090431,1.03991604
11,2,3,4115,448535,490495,490495,0.46777248
12,3,0,-16027,-1746943,-1704983,0,0.00000000
13,3,1,-5987,-652583,-610623,0,0.00000000
14,3,2,-9760,-1063840,-1021880,0,0.00000000
15,3,3,-6070,-661630,-619670,0,0.00000000
