Flight Path,OG File name,Edges removed,No flood tiles removed,Minimal coverage tiles removed,Total tiles removed,Total saved tiles,,,,,,,
1,flcorr_06206_24075_007_241011_L090_CX_01_pauli.tif,65,736,44,845,180,,,,,,,
2,peacer_19512_24075_004_241011_L090_CX_01_pauli.tif,47,251,35,333,143,,,,,,,
3,stjohn_17815_24075_002_241011_L090_CX_01_pauli.tif,35,2,19,56,124,,,,,,,
4,tampab_15102_24075_006_241011_L090_CX_01_pauli.tif,58,713,12,783,45,,,,,,,
5,tampab_33105_24075_005_241011_L090_CX_01_pauli.tif,58,655,21,734,94,,,,,,,
6,tampaf_06207_24075_010_241011_L090_CX_01_pauli.tif,65,753,39,857,168,,,,,,,
7,tampaf_24209_24075_011_241011_L090_CX_01_pauli.tif,22,54,14,90,40,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
GRAND TOTAL,,,,,,794,,,,,,,
