threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.397173,0.247795,0.247795,0.999999,,,,,False
0.1,0.453882,0.293562,0.295984,0.972883,,,,,False
0.15,0.653332,0.485147,0.538682,0.829979,,,,,False
0.2,0.673997,0.508293,0.580102,0.804159,,,,,False
0.25,0.683439,0.51911,0.600742,0.79254,,,,,False
0.3,0.686687,0.522866,0.609828,0.785713,,,,,False
0.35,0.688986,0.525537,0.616641,0.780562,,,,,False
0.4,0.690773,0.527618,0.622629,0.775665,,,,,False
0.45,0.692747,0.529926,0.629683,0.769849,,,,,False
0.5,0.721462,0.564286,0.755941,0.689991,,,,,False
0.55,0.721502,0.564336,0.777868,0.672753,0.544466,0.374066,0.583409,0.510397,True
0.6,0.720606,0.56324,0.791787,0.661168,,,,,False
0.65,0.719133,0.561443,0.804273,0.650294,,,,,False
0.7,0.716845,0.558659,0.817473,0.638276,,,,,False
0.75,0.713599,0.554725,0.831944,0.62473,,,,,False
0.8,0.708046,0.548042,0.848725,0.607372,,,,,False
0.85,0.697619,0.535648,0.865233,0.584406,,,,,False
0.9,0.678903,0.513893,0.883994,0.551055,,,,,False
0.95,0.635076,0.465283,0.912784,0.486931,,,,,False
