threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.517224,0.348821,0.354003,0.959727,,,,,False
0.1,0.579286,0.407743,0.422684,0.920225,,,,,False
0.15,0.618668,0.447878,0.475151,0.886403,,,,,False
0.2,0.64938,0.480802,0.57229,0.750473,,,,,False
0.25,0.666344,0.499637,0.6172,0.723992,,,,,False
0.3,0.677638,0.512445,0.657334,0.699236,,,,,False
0.35,0.683896,0.519637,0.693519,0.674537,,,,,False
0.4,0.684579,0.520426,0.724164,0.649098,0.549,0.378359,0.489594,0.624813,True
0.45,0.681325,0.516673,0.750699,0.623687,,,,,False
0.5,0.675009,0.509444,0.775426,0.597618,,,,,False
0.55,0.662513,0.495341,0.797847,0.566432,,,,,False
0.6,0.639937,0.47052,0.820882,0.524354,,,,,False
0.65,0.60304,0.431681,0.844245,0.469035,,,,,False
0.7,0.548202,0.377602,0.866318,0.400966,,,,,False
0.75,0.472188,0.309062,0.885261,0.321959,,,,,False
0.8,0.369748,0.226804,0.901564,0.232563,,,,,False
0.85,0.23516,0.133247,0.915699,0.134902,,,,,False
0.9,0.09725,0.05111,0.924894,0.051323,,,,,False
0.95,0.012922,0.006503,0.965223,0.006505,,,,,False
