threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.525353,0.356257,0.363558,0.946634,,,,,False
0.1,0.590792,0.419237,0.439563,0.90066,,,,,False
0.15,0.622758,0.452177,0.484973,0.869906,,,,,False
0.2,0.659547,0.492033,0.543899,0.837657,,,,,False
0.25,0.676625,0.511287,0.58544,0.801455,,,,,False
0.3,0.674153,0.50847,0.618746,0.74046,,,,,False
0.35,0.674551,0.508923,0.638968,0.714332,,,,,False
0.4,0.685294,0.521253,0.715173,0.657812,0.509443,0.34178,0.427371,0.630529,True
0.45,0.682538,0.51807,0.732143,0.639229,,,,,False
0.5,0.678264,0.513161,0.748414,0.620137,,,,,False
0.55,0.671967,0.505986,0.763799,0.599847,,,,,False
0.6,0.664374,0.497425,0.779574,0.578837,,,,,False
0.65,0.652758,0.484514,0.794975,0.553704,,,,,False
0.7,0.637245,0.467616,0.808792,0.525736,,,,,False
0.75,0.622493,0.451898,0.824067,0.500151,,,,,False
0.8,0.60332,0.431967,0.841673,0.470172,,,,,False
0.85,0.573177,0.401715,0.862891,0.429105,,,,,False
0.9,0.513352,0.345308,0.888897,0.360884,,,,,False
0.95,0.338805,0.203953,0.926043,0.20733,,,,,False
