threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.488562,0.323243,0.326244,0.972329,,,,,False
0.1,0.547981,0.377392,0.386222,0.942881,,,,,False
0.15,0.585756,0.414183,0.430081,0.918064,,,,,False
0.2,0.61494,0.443981,0.468609,0.894155,,,,,False
0.25,0.636651,0.466976,0.502275,0.86919,,,,,False
0.3,0.659395,0.491864,0.551758,0.819206,,,,,False
0.35,0.678933,0.513928,0.620519,0.749488,,,,,False
0.4,0.684859,0.520749,0.645452,0.72939,,,,,False
0.45,0.689099,0.525668,0.669057,0.710378,,,,,False
0.5,0.688781,0.525299,0.692097,0.685497,,,,,False
0.55,0.689802,0.526486,0.715998,0.665454,0.487878,0.322645,0.381455,0.676664,True
0.6,0.68696,0.523183,0.735384,0.64452,,,,,False
0.65,0.681633,0.517028,0.754263,0.621762,,,,,False
0.7,0.673937,0.508224,0.773287,0.59721,,,,,False
0.75,0.661745,0.494483,0.792472,0.568041,,,,,False
0.8,0.643859,0.474773,0.81292,0.533011,,,,,False
0.85,0.618097,0.44728,0.83739,0.489824,,,,,False
0.9,0.572819,0.401364,0.868036,0.427446,,,,,False
0.95,0.454844,0.294367,0.910756,0.30311,,,,,False
