threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.453146,0.292947,0.294448,0.982897,,,,,False
0.1,0.541449,0.371224,0.380182,0.940319,,,,,False
0.15,0.62065,0.449959,0.478683,0.882332,,,,,False
0.2,0.65637,0.488505,0.544396,0.826333,,,,,False
0.25,0.681855,0.517283,0.627224,0.746911,,,,,False
0.3,0.689252,0.525846,0.667115,0.712908,,,,,False
0.35,0.690746,0.527587,0.707966,0.674344,0.494988,0.328893,0.414084,0.615183,True
0.4,0.687399,0.523693,0.752435,0.632712,,,,,False
0.45,0.681985,0.517434,0.800833,0.593854,,,,,False
0.5,0.672975,0.50713,0.822508,0.569448,,,,,False
0.55,0.659747,0.492256,0.841379,0.542612,,,,,False
0.6,0.643375,0.474247,0.857916,0.51467,,,,,False
0.65,0.62431,0.453816,0.873329,0.485792,,,,,False
0.7,0.600397,0.428977,0.887794,0.453568,,,,,False
0.75,0.569678,0.398287,0.901331,0.416444,,,,,False
0.8,0.531063,0.361529,0.914729,0.374138,,,,,False
0.85,0.477763,0.313856,0.928279,0.321656,,,,,False
0.9,0.387825,0.24056,0.944548,0.244006,,,,,False
0.95,0.150473,0.081357,0.969645,0.081565,,,,,False
