threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.408246,0.256476,0.256501,0.999613,,,,,False
0.1,0.431343,0.274976,0.275472,0.993493,,,,,False
0.15,0.468621,0.306012,0.308022,0.979121,,,,,False
0.2,0.512829,0.344836,0.349645,0.961638,,,,,False
0.25,0.549037,0.378395,0.387377,0.942261,,,,,False
0.3,0.57601,0.404505,0.418344,0.924399,,,,,False
0.35,0.60244,0.431066,0.451724,0.904086,,,,,False
0.4,0.623061,0.452497,0.4815,0.882521,,,,,False
0.45,0.653605,0.485448,0.529242,0.854368,,,,,False
0.5,0.676546,0.511197,0.590079,0.792704,,,,,False
0.55,0.686672,0.522848,0.657922,0.718048,,,,,False
0.6,0.69637,0.534177,0.701664,0.691155,,,,,False
0.65,0.697903,0.535984,0.739069,0.66108,0.491366,0.325702,0.387288,0.671938,True
0.7,0.694042,0.531443,0.771428,0.630767,,,,,False
0.75,0.683054,0.518665,0.799484,0.596225,,,,,False
0.8,0.663619,0.496579,0.827634,0.553859,,,,,False
0.85,0.629545,0.459369,0.859177,0.496772,,,,,False
0.9,0.564485,0.393228,0.893707,0.412521,,,,,False
0.95,0.34154,0.205938,0.934792,0.208939,,,,,False
