threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.447996,0.288657,0.290001,0.984192,,,,,False
0.1,0.523866,0.35489,0.362948,0.941125,,,,,False
0.15,0.595342,0.423834,0.44717,0.890371,,,,,False
0.2,0.640882,0.471542,0.526614,0.818481,,,,,False
0.25,0.66183,0.494578,0.605164,0.730204,,,,,False
0.3,0.670662,0.504508,0.644351,0.699214,,,,,False
0.35,0.671351,0.505288,0.673631,0.669086,0.476051,0.31238,0.386535,0.619523,True
0.4,0.670409,0.504222,0.699935,0.643273,,,,,False
0.45,0.665079,0.498217,0.725998,0.613593,,,,,False
0.5,0.653111,0.484904,0.750791,0.577922,,,,,False
0.55,0.637078,0.467436,0.774196,0.541223,,,,,False
0.6,0.616634,0.445749,0.798368,0.502296,,,,,False
0.65,0.59297,0.421434,0.824811,0.462866,,,,,False
0.7,0.564441,0.393186,0.852384,0.421915,,,,,False
0.75,0.524072,0.355079,0.878874,0.37335,,,,,False
0.8,0.460482,0.299108,0.901777,0.309181,,,,,False
0.85,0.353367,0.2146,0.924439,0.218431,,,,,False
0.9,0.178614,0.098065,0.942312,0.098657,,,,,False
0.95,0.014182,0.007142,0.991754,0.007142,,,,,False
