heldout_fp,land_cover_code,land_cover_name,pixels,tp,fp,fn,tn,true_flood_pixels,pred_flood_pixels,dice,iou,precision,recall,false_positive_rate,false_negative_rate
fp1,1,Water,410000,0,20455,0,389545,0,20455,0.0,0.0,0.0,,0.04989,
fp1,2,Trees,4343833,436893,175109,491432,3240399,928325,612002,0.567273,0.395939,0.713875,0.470625,0.051269,0.529375
fp1,4,Flooded Vegetation,77168,0,16567,0,60601,0,16567,0.0,0.0,0.0,,0.214687,
fp1,5,Crops,2933429,30584,68095,167887,2666863,198471,98679,0.205849,0.114733,0.309934,0.154098,0.024898,0.845902
fp1,7,Built Area,858315,29632,21663,52399,754621,82031,51295,0.444504,0.285764,0.577678,0.361229,0.027906,0.638771
fp1,8,Bare Ground,4424,0,0,2439,1985,2439,0,0.0,0.0,,0.0,0.0,1.0
fp1,11,Rangeland,351263,14242,24223,28321,284477,42563,38465,0.351533,0.213248,0.370259,0.33461,0.078468,0.66539
fp2,1,Water,211805,0,47638,0,164167,0,47638,0.0,0.0,0.0,,0.224914,
fp2,2,Trees,5316286,1437823,272397,522638,3083428,1960461,1710220,0.783409,0.643938,0.840724,0.733411,0.081171,0.266589
fp2,4,Flooded Vegetation,71207,0,10322,0,60885,0,10322,0.0,0.0,0.0,,0.144958,
fp2,5,Crops,1768808,89096,18370,176977,1484365,266073,107466,0.477037,0.31323,0.829062,0.334855,0.012224,0.665145
fp2,7,Built Area,1201929,61568,34558,98558,1007245,160126,96126,0.480527,0.316246,0.640493,0.384497,0.033171,0.615503
fp2,8,Bare Ground,8105,311,1,5438,2355,5749,312,0.102623,0.054087,0.996795,0.054096,0.000424,0.945904
fp2,11,Rangeland,465828,86615,25806,53818,299589,140433,112421,0.685099,0.521027,0.770452,0.616771,0.079307,0.383229
fp3,1,Water,196930,0,62820,0,134110,0,62820,0.0,0.0,0.0,,0.318997,
fp3,2,Trees,7134165,1309666,198908,1215506,4410085,2525172,1508574,0.649355,0.480774,0.868148,0.518644,0.043156,0.481356
fp3,4,Flooded Vegetation,39429,0,6681,0,32748,0,6681,0.0,0.0,0.0,,0.169444,
fp3,5,Crops,1225373,10895,7199,134258,1073021,145153,18094,0.133479,0.071512,0.602133,0.075059,0.006664,0.924941
fp3,7,Built Area,1151161,10689,2735,136964,1000773,147653,13424,0.132719,0.071076,0.79626,0.072393,0.002725,0.927607
fp3,8,Bare Ground,11981,76,1,3382,8522,3458,77,0.042999,0.021972,0.987013,0.021978,0.000117,0.978022
fp3,11,Rangeland,988865,57931,23488,205549,701897,263480,81419,0.33593,0.201873,0.711517,0.219869,0.03238,0.780131
fp4,1,Water,205558,0,22990,0,182568,0,22990,0.0,0.0,0.0,,0.111842,
fp4,2,Trees,7039876,815485,573961,1008109,4642321,1823594,1389446,0.50761,0.340132,0.586914,0.447186,0.110033,0.552814
fp4,4,Flooded Vegetation,12450,0,428,0,12022,0,428,0.0,0.0,0.0,,0.034378,
fp4,5,Crops,3088461,13400,111769,80721,2882571,94121,125169,0.122213,0.065083,0.107055,0.14237,0.037327,0.85763
fp4,7,Built Area,958968,3262,22928,33319,899459,36581,26190,0.103933,0.054815,0.124551,0.089172,0.024857,0.910828
fp4,8,Bare Ground,1028,25,34,146,823,171,59,0.217391,0.121951,0.423729,0.146199,0.039673,0.853801
fp4,11,Rangeland,555675,16016,23766,68425,447468,84441,39782,0.257859,0.148013,0.402594,0.189671,0.050434,0.810329
fp5,1,Water,172137,0,21273,0,150864,0,21273,0.0,0.0,0.0,,0.123582,
fp5,2,Trees,5900010,1432439,454999,686821,3325751,2119260,1887438,0.715022,0.556447,0.758933,0.675915,0.120346,0.324085
fp5,4,Flooded Vegetation,9701,0,9603,0,98,0,9603,0.0,0.0,0.0,,0.989898,
fp5,5,Crops,3183095,58774,81103,81947,2961271,140721,139877,0.41892,0.264958,0.420183,0.417663,0.026658,0.582337
fp5,7,Built Area,837233,22520,38673,34536,741504,57056,61193,0.380891,0.235247,0.368016,0.3947,0.04957,0.6053
fp5,8,Bare Ground,584,49,46,49,440,98,95,0.507772,0.340278,0.515789,0.5,0.09465,0.5
fp5,11,Rangeland,383000,54593,19261,37009,272137,91602,73854,0.65991,0.492437,0.739202,0.59598,0.066099,0.40402
fp6,1,Water,205173,0,58636,0,146537,0,58636,0.0,0.0,0.0,,0.285788,
fp6,2,Trees,7005470,1169552,222121,1253113,4360684,2422665,1391673,0.61324,0.44221,0.840393,0.482754,0.048468,0.517246
fp6,4,Flooded Vegetation,40121,0,10559,0,29562,0,10559,0.0,0.0,0.0,,0.263179,
fp6,5,Crops,1461972,11807,22434,133648,1294083,145455,34241,0.131411,0.070326,0.344821,0.081173,0.01704,0.918827
fp6,7,Built Area,1356434,2906,3156,124241,1226131,127147,6062,0.043631,0.022302,0.47938,0.022855,0.002567,0.977145
fp6,8,Bare Ground,7403,4,3,2096,5300,2100,7,0.003797,0.001902,0.571429,0.001905,0.000566,0.998095
fp6,11,Rangeland,1064547,63977,35021,209891,755658,273868,98998,0.343163,0.20712,0.646245,0.233605,0.044292,0.766395
fp7,1,Water,1584854,0,55644,0,1529210,0,55644,0.0,0.0,0.0,,0.03511,
fp7,2,Trees,3450824,510081,23765,643850,2273128,1153931,533846,0.604441,0.433118,0.955483,0.442038,0.010347,0.557962
fp7,4,Flooded Vegetation,127357,0,36337,0,91020,0,36337,0.0,0.0,0.0,,0.285316,
fp7,5,Crops,1264709,17509,16456,151814,1078930,169323,33965,0.172258,0.094246,0.515501,0.103406,0.015023,0.896594
fp7,7,Built Area,842993,37202,23851,124209,657731,161411,61053,0.334454,0.200808,0.609339,0.23048,0.034994,0.76952
fp7,8,Bare Ground,19365,283,190,11387,7505,11670,473,0.046611,0.023862,0.598309,0.02425,0.024691,0.97575
fp7,11,Rangeland,377610,34773,6329,99569,236939,134342,41102,0.3964,0.247194,0.846017,0.258839,0.026017,0.741161
