model,heldout_fp,global_threshold,test_dice,test_iou,test_precision,test_recall,test_dice_at_0.5,test_iou_at_0.5,test_precision_at_0.5,test_recall_at_0.5,source
Original U-Net,fp1,0.35,0.5206,0.3519,0.5428,0.5002,0.4890,0.3237,0.6106,0.4078,inference
Original U-Net,fp2,0.35,0.7445,0.5930,0.7447,0.7444,0.7257,0.5695,0.8037,0.6615,csv
Original U-Net,fp3,0.35,0.6264,0.4560,0.7483,0.5387,0.5818,0.4102,0.8215,0.4503,csv
Original U-Net,fp4,0.35,0.4932,0.3273,0.4613,0.5299,0.4657,0.3035,0.5288,0.4160,inference
Original U-Net,fp5,0.35,0.6847,0.5206,0.6640,0.7068,0.6816,0.5170,0.7151,0.6511,inference
Original U-Net,fp6,0.35,0.5904,0.4188,0.7191,0.5008,0.5461,0.3756,0.7801,0.4201,inference
Original U-Net,fp7,0.35,0.5485,0.3779,0.7136,0.4455,0.5013,0.3345,0.7868,0.3679,inference
Alea-tuned U-Net,fp1,0.55,0.5242,0.3552,0.4445,0.6386,0.5152,0.3470,0.4221,0.6611,inference
Alea-tuned U-Net,fp2,0.55,0.7852,0.6464,0.7574,0.8152,0.7843,0.6451,0.7480,0.8243,inference
Alea-tuned U-Net,fp3,0.55,0.6341,0.4642,0.8064,0.5224,0.6410,0.4717,0.7908,0.5390,inference
Alea-tuned U-Net,fp4,0.55,0.5445,0.3741,0.5834,0.5104,0.5388,0.3688,0.5385,0.5392,csv
Alea-tuned U-Net,fp5,0.55,0.7341,0.5799,0.7245,0.7440,0.7282,0.5725,0.6986,0.7604,inference
Alea-tuned U-Net,fp6,0.55,0.6509,0.4824,0.7601,0.5690,0.6550,0.4870,0.7451,0.5844,inference
Alea-tuned U-Net,fp7,0.55,0.5142,0.3460,0.6093,0.4447,0.5172,0.3488,0.5901,0.4603,inference
