kernel,num_samples,mae,max_abs_error,p99_abs_error,mean_relative_error_safe_subset,n_relative_error_samples,pearson_correlation,cosine_similarity
0,2064512,0.0022609338314268997,0.02681854666542005,0.01176674707065549,0.006578509299319619,1054673,0.9999749819663831,0.9999854589426895
1,2064512,0.0032896257886110315,0.03773305342221944,0.017177203440617097,0.008749691729419655,1022749,0.9999479623732231,0.9999688954733209
2,2064512,0.006171813997061784,0.07193810232284514,0.036118339120027036,0.016616293402056868,715473,0.9998751341015247,0.9999070584680596
3,2064512,0.0014913206850943248,0.019646570976746602,0.00938009262418081,0.004710853109134037,828259,0.9999934245194695,0.9999953997285808
4,2064512,0.0016776069915734433,0.022153505013786767,0.010548953577980597,0.005478124972399845,785424,0.999991777693625,0.9999940933220062
5,2064512,0.004332267533341068,0.05552511785195724,0.02498769822073681,0.011779221160978775,705445,0.9999228785912427,0.9999437691758574
6,2064512,0.004029523055875534,0.059082820687965665,0.02644310135998265,0.012668688565176117,616811,0.9999255947776768,0.9999424004740529
7,2064512,0.004134011047842569,0.05302405557148182,0.02445640005059586,0.010523393229184993,564799,0.9999394772766442,0.9999529173927433
8,2064512,0.002794096111545427,0.043492029638528606,0.017351113845835615,0.007733941007926391,723637,0.999970120288375,0.9999781414861011
9,2064512,0.002060090055172698,0.029687017784896685,0.013236367675995437,0.006286959525799965,736671,0.9999813964334516,0.9999865697349235
10,2064512,0.0018582977880894128,0.027464303345832164,0.012099721255966768,0.005780613628418561,793192,0.9999877010127401,0.9999913269168893
11,2064512,0.0032863730332354127,0.041673075595273446,0.01779829174056228,0.009451012025747885,1010068,0.9999445465083832,0.9999659960075002
12,2064512,0.0009242117075732082,0.0142426819427377,0.005943898094690046,0.003432309779398603,831281,0.9999966719225831,0.9999976365835276
13,2064512,0.0034960746207302546,0.04824694463276763,0.02177836983582264,0.010367905526620041,682691,0.9999448779846646,0.9999588968368297
14,2064512,0.004642026245402286,0.05358440309520269,0.024995208635375785,0.012110023666465944,759215,0.9999285286204568,0.9999480368562952
15,2064512,0.0019374102363167722,0.02886711503791073,0.012781719369479113,0.006757640993823581,771809,0.9999843463743964,0.9999887006828619
16,2064512,0.0059237998112055355,0.056636986117215404,0.028559677536581007,0.016771810556719186,818704,0.9998923150116222,0.9999198537590309
17,2064512,0.0032767987599927693,0.0432749308779119,0.018933381970694583,0.008583250652309443,789477,0.9999670471128839,0.9999766062034061
18,2064512,0.002924785016551739,0.03414698340967117,0.015644651168784274,0.008911788916321418,1025475,0.9999520836774177,0.9999711540769105
19,2064512,0.004685453616266072,0.05560162538825936,0.02494667278776422,0.012762921281109545,927138,0.9999145326400394,0.9999438973505232
20,2064512,0.004041693756444545,0.04235821804908968,0.02119616904167197,0.012027056771990821,944986,0.9999338771091733,0.9999576401884732
21,2064512,0.0021887651834552506,0.0328060100434866,0.014169375966594738,0.007102154834543255,745042,0.9999782921810552,0.9999842016180797
22,2064512,0.0022961864094934834,0.03330270057174223,0.015038036392793856,0.007067827350718364,739021,0.9999763488442758,0.9999829058524109
23,2064512,0.0014683008936750123,0.020445171054461975,0.009370107540531192,0.004980292475785557,804640,0.9999925314588824,0.9999946844940782
24,2064512,0.00308607950483684,0.03598059171207732,0.016872021307059178,0.008527664411875822,866688,0.9999573897124286,0.9999714550314946
25,2064512,0.0035569420968889496,0.03793899095146336,0.017961514066526366,0.0106566934322596,1016036,0.9999521656903975,0.9999712832498222
26,2064512,0.004443025736477697,0.055679588229939236,0.026455012025350735,0.012857552904769337,706733,0.9999188996317793,0.9999400631381083
27,2064512,0.004223644180007915,0.04720860954100203,0.022206579419031792,0.011772715573924473,1021156,0.9999138596347953,0.9999479132181193
28,2064512,0.0022060767367981095,0.031553486702453615,0.01443108046846552,0.006697152943003982,763588,0.9999799775706284,0.9999856725755285
29,2064512,0.0032262488471216945,0.055185969459637274,0.02111072384523178,0.008953285775650494,688876,0.9999617290864925,0.9999714112008622
30,2064512,0.003249701671986874,0.03783114313640279,0.017443123745414617,0.008672883055707703,893097,0.9999547487507245,0.9999699583179046
31,2064512,0.003145865784940372,0.04330918887837809,0.019389610824486682,0.00980681050066828,646991,0.9999576675864066,0.999967607590494
