tile_idx,data_load_ms,forward_ms,postproc_ms,total_ms
0,6.562,2.072,8.605,17.239
1,8.400,2.398,0.085,10.883
2,7.130,1.712,0.075,8.917
3,6.796,1.702,0.074,8.572
4,6.508,1.642,0.073,8.223
5,6.769,1.643,0.072,8.484
6,7.254,1.631,0.072,8.957
7,5.917,1.645,0.073,7.634
8,6.402,1.636,0.072,8.110
9,6.666,1.639,0.071,8.376
10,6.602,1.687,0.071,8.359
11,6.796,1.645,0.071,8.513
12,6.937,1.636,0.077,8.650
13,6.809,1.644,0.071,8.524
14,6.446,1.636,0.070,8.152
15,6.620,1.664,0.071,8.355
16,6.999,1.720,0.080,8.798
17,7.777,1.750,0.080,9.607
18,7.160,1.630,0.070,8.861
19,6.758,1.650,0.070,8.479
20,6.999,1.640,0.068,8.707
21,6.999,1.644,0.070,8.714
22,7.037,1.637,0.070,8.744
23,6.586,1.631,0.069,8.286
24,6.793,1.629,0.069,8.491
25,6.513,1.636,0.069,8.217
26,6.578,1.631,0.070,8.279
27,6.763,1.638,0.069,8.470
28,6.929,1.627,0.069,8.625
29,6.711,1.640,0.070,8.422
30,6.423,1.626,0.069,8.117
31,6.752,1.630,0.069,8.452
32,5.946,1.627,0.071,7.644
33,6.257,1.630,0.068,7.956
34,6.478,1.643,0.070,8.191
35,6.198,1.631,0.069,7.899
36,5.914,1.642,0.071,7.627
37,6.753,1.647,0.069,8.469
38,6.375,1.635,0.070,8.081
39,6.374,1.729,0.079,8.182
40,7.607,1.759,0.078,9.444
41,6.849,1.736,0.079,8.664
42,7.114,1.741,0.080,8.935
43,6.761,1.726,0.078,8.564
44,6.657,1.631,0.068,8.356
45,6.714,1.709,0.097,8.520
46,7.724,1.963,0.090,9.777
47,7.145,1.975,0.091,9.211
48,8.509,1.731,0.079,10.319
49,7.753,1.697,0.073,9.523
50,6.968,1.656,0.072,8.696
51,6.745,1.650,0.071,8.466
52,7.251,1.744,0.079,9.074
53,6.680,1.638,0.071,8.389
54,6.540,1.652,0.072,8.264
55,6.809,1.648,0.072,8.530
56,6.724,1.714,0.070,8.508
57,6.754,1.713,0.073,8.540
58,7.398,1.723,0.075,9.195
59,6.078,1.725,0.075,7.878
60,8.658,1.727,0.073,10.459
61,7.063,1.897,0.075,9.035
62,7.438,1.653,0.071,9.162
63,6.281,1.710,0.075,8.065
64,6.955,1.759,0.080,8.794
65,7.095,1.807,0.082,8.983
66,6.822,1.642,0.072,8.536
67,6.941,1.710,0.072,8.723
68,6.630,2.057,0.072,8.760
69,7.152,1.720,0.074,8.946
70,6.716,1.708,0.073,8.497
71,6.851,1.712,0.074,8.636
72,6.921,1.729,0.076,8.726
73,7.016,1.753,0.076,8.846
74,6.627,2.168,0.077,8.872
75,6.472,1.701,0.084,8.258
76,6.915,2.244,0.084,9.243
77,7.135,1.680,0.080,8.894
78,7.102,1.725,0.086,8.913
79,6.951,1.669,0.075,8.695
80,6.642,1.719,0.073,8.434
81,6.631,1.658,0.072,8.361
82,6.572,1.857,0.082,8.511
83,6.781,1.649,0.078,8.508
84,7.230,1.706,0.074,9.010
85,6.812,2.085,0.073,8.971
86,6.958,1.697,0.076,8.731
87,6.350,2.088,0.072,8.510
88,6.959,1.708,0.073,8.740
89,6.521,1.710,0.072,8.302
90,6.753,1.712,0.071,8.537
91,6.469,1.708,0.074,8.251
92,6.756,1.696,0.070,8.522
93,6.486,1.703,0.071,8.260
94,6.664,1.721,0.074,8.458
95,6.922,2.111,0.075,9.108
96,7.820,1.716,0.076,9.612
97,6.481,1.731,0.073,8.285
98,6.250,1.660,0.072,7.983
99,6.880,1.946,0.081,8.906
100,7.883,1.784,0.083,9.750
101,7.173,1.797,0.081,9.050
102,7.097,2.170,0.081,9.349
103,7.336,1.705,0.071,9.112
104,7.468,1.708,0.071,9.248
105,6.043,1.705,0.085,7.834
106,8.899,2.232,0.086,11.218
107,6.328,1.704,0.077,8.109
108,7.155,1.740,0.077,8.972
109,7.070,1.795,0.084,8.950
110,7.339,1.854,0.088,9.281
111,7.617,2.168,0.086,9.870
112,8.958,2.735,0.130,11.822
113,7.791,2.659,0.125,10.575
114,8.737,3.001,0.120,11.859
115,9.498,2.620,0.123,12.241
116,9.535,2.684,0.123,12.342
117,8.754,2.766,0.127,11.647
118,8.961,2.996,0.122,12.079
119,8.773,2.638,0.129,11.540
120,9.228,2.620,0.122,11.970
121,8.599,2.841,0.172,11.612
122,8.865,2.627,0.121,11.613
123,7.979,1.816,0.082,9.877
124,7.654,2.150,0.080,9.884
125,7.385,1.780,0.079,9.243
126,8.726,2.746,0.122,11.593
127,9.049,2.860,0.122,12.031
128,8.548,2.694,0.123,11.365
129,9.018,2.671,0.122,11.810
130,8.874,1.809,0.085,10.768
131,7.307,1.791,0.078,9.177
132,6.664,2.187,0.079,8.930
133,6.773,1.761,0.080,8.615
134,7.048,1.799,0.083,8.930
135,7.673,1.797,0.081,9.551
136,6.969,1.802,0.080,8.851
137,7.801,2.166,0.085,10.053
