block,category,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms
enc1,encoder,0.1939,0.0336,0.1571,0.3439,0.1889,0.2441
enc2,encoder,0.1181,0.0389,0.1008,0.3172,0.1023,0.2002
enc3,encoder,0.1035,0.0362,0.0862,0.2720,0.0880,0.1839
enc4,encoder,0.1265,0.0374,0.1060,0.3270,0.1117,0.2130
bottleneck,bottleneck,0.1385,0.0294,0.1252,0.2801,0.1273,0.2066
up4,upsample,0.0518,0.0145,0.0454,0.1801,0.0473,0.0769
dec4,decoder,0.1645,0.0193,0.1556,0.3108,0.1579,0.2030
up3,upsample,0.0501,0.0229,0.0412,0.2282,0.0435,0.0742
dec3,decoder,0.1513,0.0281,0.1401,0.3209,0.1419,0.1883
up2,upsample,0.0531,0.0218,0.0443,0.1888,0.0460,0.0703
dec2,decoder,0.1493,0.0174,0.1414,0.2603,0.1433,0.1769
up1,upsample,0.0608,0.0136,0.0556,0.1995,0.0571,0.0765
dec1,decoder,0.1799,0.0180,0.1732,0.3350,0.1751,0.1947
out,final_conv,0.0317,0.0206,0.0219,0.2026,0.0259,0.0562
