heldout_fp,threshold,land_cover_code,land_cover_name,pixels,tp,fp,fn,tn,true_flood_pixels,pred_flood_pixels,dice,iou,precision,recall,false_positive_rate,false_negative_rate
fp1,0.25,1,Water,410000,0,36136,0,373864,0,36136,0.0,0.0,0.0,,0.088137,
fp1,0.25,2,Trees,4343833,599545,436824,328780,2978684,928325,1036369,0.610319,0.439179,0.578505,0.645835,0.127894,0.354165
fp1,0.25,4,Flooded Vegetation,77168,0,36266,0,40902,0,36266,0.0,0.0,0.0,,0.469962,
fp1,0.25,5,Crops,2933429,76730,192706,121741,2542252,198471,269436,0.327971,0.196152,0.28478,0.386606,0.07046,0.613394
fp1,0.25,7,Built Area,858315,51002,124199,31029,652085,82031,175201,0.396545,0.247306,0.291106,0.621741,0.159992,0.378259
fp1,0.25,8,Bare Ground,4424,29,88,2410,1897,2439,117,0.022692,0.011476,0.247863,0.01189,0.044332,0.98811
fp1,0.25,11,Rangeland,351263,24731,57540,17832,251160,42563,82271,0.396222,0.247056,0.300604,0.581045,0.186395,0.418955
fp2,0.35,1,Water,211805,0,62375,0,149430,0,62375,0.0,0.0,0.0,,0.294493,
fp2,0.35,2,Trees,5316286,1535929,389830,424532,2965995,1960461,1925759,0.790449,0.653506,0.797571,0.783453,0.116165,0.216547
fp2,0.35,4,Flooded Vegetation,71207,0,13869,0,57338,0,13869,0.0,0.0,0.0,,0.19477,
fp2,0.35,5,Crops,1768808,154489,46947,111584,1455788,266073,201436,0.660903,0.493544,0.766938,0.580626,0.031241,0.419374
fp2,0.35,7,Built Area,1201929,84348,86410,75778,955393,160126,170758,0.509834,0.342133,0.493962,0.52676,0.082943,0.47324
fp2,0.35,8,Bare Ground,8105,1038,30,4711,2326,5749,1068,0.304533,0.179616,0.97191,0.180553,0.012733,0.819447
fp2,0.35,11,Rangeland,465828,109555,47026,30878,278369,140433,156581,0.737709,0.584421,0.69967,0.780123,0.14452,0.219877
fp3,0.35,1,Water,196930,0,83383,0,113547,0,83383,0.0,0.0,0.0,,0.423414,
fp3,0.35,2,Trees,7134165,1515319,369252,1009853,4239741,2525172,1884571,0.68726,0.52353,0.804066,0.600085,0.080116,0.399915
fp3,0.35,4,Flooded Vegetation,39429,0,12289,0,27140,0,12289,0.0,0.0,0.0,,0.311674,
fp3,0.35,5,Crops,1225373,23912,29881,121241,1050339,145153,53793,0.240387,0.136613,0.444519,0.164737,0.027662,0.835263
fp3,0.35,7,Built Area,1151161,20738,12318,126915,991190,147653,33056,0.229518,0.129636,0.62736,0.140451,0.012275,0.859549
fp3,0.35,8,Bare Ground,11981,270,180,3188,8343,3458,450,0.138178,0.074217,0.6,0.07808,0.021119,0.92192
