threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.507623,0.340144,0.34493,0.960808,,,,,False
0.1,0.579881,0.408333,0.426278,0.906536,,,,,False
0.15,0.616519,0.445628,0.480381,0.860333,,,,,False
0.2,0.651236,0.482839,0.542241,0.815071,,,,,False
0.25,0.673416,0.507631,0.604325,0.760344,0.591734,0.420186,0.506925,0.710622,True
0.3,0.669097,0.502739,0.677886,0.660533,,,,,False
0.35,0.666234,0.499513,0.746633,0.601467,,,,,False
0.4,0.650582,0.48212,0.776686,0.559707,,,,,False
0.45,0.635721,0.465975,0.797943,0.528314,,,,,False
0.5,0.618979,0.448204,0.817669,0.497974,,,,,False
0.55,0.599226,0.427782,0.837366,0.466544,,,,,False
0.6,0.577689,0.406162,0.856048,0.435937,,,,,False
0.65,0.554674,0.383771,0.870782,0.406946,,,,,False
0.7,0.526631,0.357433,0.885405,0.37477,,,,,False
0.75,0.492451,0.326657,0.901223,0.338786,,,,,False
0.8,0.442073,0.283757,0.920981,0.290838,,,,,False
0.85,0.365043,0.223274,0.941785,0.226399,,,,,False
0.9,0.23268,0.131657,0.966724,0.132257,,,,,False
0.95,0.037458,0.019086,0.989344,0.01909,,,,,False
