threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.410439,0.258209,0.25821,0.999998,,,,,False
0.1,0.548219,0.377619,0.387322,0.937785,,,,,False
0.15,0.636666,0.466992,0.500424,0.874846,,,,,False
0.2,0.650663,0.482209,0.522679,0.861646,,,,,False
0.25,0.655196,0.487205,0.531112,0.854932,,,,,False
0.3,0.658102,0.490427,0.53681,0.850207,,,,,False
0.35,0.660446,0.493035,0.541578,0.846167,,,,,False
0.4,0.662709,0.495561,0.54639,0.841948,,,,,False
0.45,0.666032,0.499287,0.553845,0.835213,,,,,False
0.5,0.704805,0.544169,0.749428,0.665198,,,,,False
0.55,0.705274,0.544729,0.778454,0.644671,0.684442,0.520267,0.720087,0.652159,True
0.6,0.702509,0.541437,0.792071,0.631144,,,,,False
0.65,0.69877,0.537007,0.804249,0.617751,,,,,False
0.7,0.693732,0.531079,0.816948,0.602813,,,,,False
0.75,0.686515,0.522667,0.831761,0.584455,,,,,False
0.8,0.676612,0.511272,0.850735,0.561656,,,,,False
0.85,0.660979,0.493628,0.869965,0.532951,,,,,False
0.9,0.63224,0.462245,0.894194,0.48899,,,,,False
0.95,0.563585,0.392355,0.928886,0.404506,,,,,False
