threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.416019,0.262642,0.263192,0.992106,,,,,False
0.1,0.468476,0.305889,0.309374,0.964483,,,,,False
0.15,0.511985,0.344072,0.353528,0.927872,,,,,False
0.2,0.547092,0.376549,0.394386,0.892772,,,,,False
0.25,0.577556,0.406031,0.435964,0.855356,,,,,False
0.3,0.598373,0.426913,0.470682,0.82114,,,,,False
0.35,0.613812,0.442805,0.506961,0.777732,,,,,False
0.4,0.639099,0.469614,0.601463,0.681758,,,,,False
0.45,0.643832,0.474743,0.647336,0.640365,,,,,False
0.5,0.645422,0.476474,0.684288,0.610733,0.652341,0.484054,0.64397,0.660932,True
0.55,0.64311,0.473959,0.720821,0.580524,,,,,False
0.6,0.635249,0.465469,0.756328,0.547587,,,,,False
0.65,0.622269,0.451662,0.788087,0.514099,,,,,False
0.7,0.604044,0.43271,0.814895,0.479878,,,,,False
0.75,0.579206,0.407663,0.839216,0.442201,,,,,False
0.8,0.544456,0.374057,0.863815,0.397498,,,,,False
0.85,0.497335,0.330969,0.891342,0.344884,,,,,False
0.9,0.425672,0.270384,0.922577,0.276661,,,,,False
0.95,0.266648,0.153834,0.956408,0.15492,,,,,False
