threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.463144,0.301358,0.302759,0.984877,,,,,False
0.1,0.534037,0.364291,0.371643,0.948493,,,,,False
0.15,0.583204,0.411636,0.428436,0.913025,,,,,False
0.2,0.616553,0.445664,0.473799,0.882423,,,,,False
0.25,0.638842,0.469337,0.511729,0.849975,,,,,False
0.3,0.652379,0.484096,0.553099,0.795097,,,,,False
0.35,0.658747,0.491143,0.612977,0.711904,,,,,False
0.4,0.666017,0.499269,0.655344,0.677042,,,,,False
0.45,0.670676,0.504525,0.691275,0.65127,,,,,False
0.5,0.671801,0.505799,0.723292,0.627154,0.640616,0.471255,0.666755,0.61645,True
0.55,0.66841,0.501963,0.753387,0.600659,,,,,False
0.6,0.659977,0.492512,0.78147,0.571178,,,,,False
0.65,0.646773,0.477948,0.806779,0.539729,,,,,False
0.7,0.627538,0.457235,0.829224,0.504766,,,,,False
0.75,0.604245,0.432916,0.852826,0.46787,,,,,False
0.8,0.573242,0.401779,0.878437,0.425434,,,,,False
0.85,0.520054,0.351401,0.907887,0.364392,,,,,False
0.9,0.414127,0.261135,0.941728,0.265423,,,,,False
0.95,0.183717,0.10115,0.977545,0.101386,,,,,False
