threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.615441,0.444504,0.478991,0.860603,,,,,False
0.1,0.643958,0.474881,0.533657,0.811735,,,,,False
0.15,0.653114,0.484907,0.555044,0.793277,,,,,False
0.2,0.656905,0.489098,0.565842,0.782899,,,,,False
0.25,0.650712,0.482263,0.596553,0.715687,,,,,False
0.3,0.644118,0.475055,0.60491,0.688761,,,,,False
0.35,0.645254,0.476292,0.614321,0.679468,,,,,False
0.4,0.651336,0.482949,0.635645,0.667822,,,,,False
0.45,0.682068,0.517529,0.725999,0.64315,,,,,False
0.5,0.688197,0.524619,0.766191,0.624614,0.69738,0.535367,0.746694,0.654175,True
0.55,0.687533,0.523848,0.780083,0.614614,,,,,False
0.6,0.685978,0.522044,0.791554,0.60525,,,,,False
0.65,0.683441,0.519111,0.803024,0.594857,,,,,False
0.7,0.679547,0.514631,0.815492,0.58245,,,,,False
0.75,0.673392,0.507604,0.827697,0.56758,,,,,False
0.8,0.663564,0.496517,0.840298,0.548253,,,,,False
0.85,0.651077,0.482664,0.8544,0.525922,,,,,False
0.9,0.632078,0.462072,0.872326,0.495588,,,,,False
0.95,0.591741,0.420193,0.901784,0.440345,,,,,False
