threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.520038,0.351386,0.356901,0.957877,,,,,False
0.1,0.626476,0.456109,0.487113,0.877542,,,,,False
0.15,0.643852,0.474766,0.515062,0.858525,,,,,False
0.2,0.649922,0.481395,0.525957,0.850342,,,,,False
0.25,0.653647,0.485495,0.53295,0.845018,,,,,False
0.3,0.656646,0.48881,0.538846,0.84036,,,,,False
0.35,0.659646,0.492143,0.544998,0.83538,,,,,False
0.4,0.66687,0.500229,0.558965,0.826404,,,,,False
0.45,0.691628,0.528618,0.692114,0.691143,,,,,False
0.5,0.691923,0.528962,0.73577,0.653008,0.685762,0.521795,0.67516,0.696703,True
0.55,0.690285,0.52705,0.752145,0.637827,,,,,False
0.6,0.687933,0.524313,0.766479,0.62399,,,,,False
0.65,0.68472,0.520589,0.781075,0.609528,,,,,False
0.7,0.680004,0.515156,0.797201,0.592849,,,,,False
0.75,0.673374,0.507584,0.814524,0.573918,,,,,False
0.8,0.662981,0.495865,0.834114,0.550115,,,,,False
0.85,0.645962,0.477063,0.85762,0.518097,,,,,False
0.9,0.614576,0.443602,0.885698,0.470539,,,,,False
0.95,0.541196,0.370986,0.924291,0.382612,,,,,False
