threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.457621,0.296698,0.299869,0.965586,,,,,False
0.1,0.531043,0.36151,0.374605,0.911829,,,,,False
0.15,0.568343,0.396983,0.420563,0.876242,,,,,False
0.2,0.595803,0.424301,0.460405,0.844014,,,,,False
0.25,0.618081,0.447263,0.498272,0.813745,,,,,False
0.3,0.625667,0.455252,0.532807,0.757728,,,,,False
0.35,0.670803,0.504667,0.657702,0.684436,0.655451,0.487488,0.600674,0.721222,True
0.4,0.661122,0.493788,0.717051,0.613286,,,,,False
0.45,0.655722,0.487788,0.752354,0.581088,,,,,False
0.5,0.644632,0.475614,0.781557,0.548532,,,,,False
0.55,0.627835,0.457551,0.807697,0.513489,,,,,False
0.6,0.605262,0.433961,0.833354,0.475198,,,,,False
0.65,0.57517,0.403677,0.858101,0.432551,,,,,False
0.7,0.536137,0.366248,0.88319,0.384892,,,,,False
0.75,0.485759,0.320794,0.907832,0.331594,,,,,False
0.8,0.414975,0.26181,0.932014,0.266907,,,,,False
0.85,0.317767,0.188896,0.953412,0.190656,,,,,False
0.9,0.167283,0.091276,0.968042,0.091552,,,,,False
0.95,0.016678,0.008409,0.914166,0.008416,,,,,False
