threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.477853,0.313933,0.316523,0.974603,,,,,False
0.1,0.559051,0.387974,0.400104,0.927521,,,,,False
0.15,0.609183,0.438004,0.465254,0.882049,,,,,False
0.2,0.652108,0.483799,0.53523,0.834293,,,,,False
0.25,0.6707,0.504552,0.583254,0.788994,0.591838,0.420291,0.49938,0.726312,True
0.3,0.668816,0.502422,0.687774,0.650875,,,,,False
0.35,0.667501,0.500939,0.723752,0.619363,,,,,False
0.4,0.659697,0.4922,0.745096,0.591861,,,,,False
0.45,0.65071,0.482261,0.761056,0.56831,,,,,False
0.5,0.642456,0.473249,0.775478,0.548388,,,,,False
0.55,0.63287,0.462918,0.789281,0.528197,,,,,False
0.6,0.621514,0.450867,0.805032,0.506134,,,,,False
0.65,0.608804,0.437612,0.822379,0.483291,,,,,False
0.7,0.592451,0.42091,0.839283,0.45781,,,,,False
0.75,0.570589,0.399177,0.855336,0.428078,,,,,False
0.8,0.536646,0.366724,0.872848,0.387421,,,,,False
0.85,0.486072,0.321067,0.89294,0.333921,,,,,False
0.9,0.406645,0.255213,0.920538,0.260962,,,,,False
0.95,0.238494,0.135392,0.959484,0.136171,,,,,False
