threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.430445,0.274247,0.275195,0.987585,,,,,False
0.1,0.507931,0.340421,0.348313,0.937598,,,,,False
0.15,0.55777,0.386741,0.404503,0.898037,,,,,False
0.2,0.601032,0.429625,0.465175,0.84898,,,,,False
0.25,0.622493,0.451898,0.506501,0.807391,,,,,False
0.3,0.652083,0.483771,0.636644,0.668289,,,,,False
0.35,0.656135,0.488244,0.680587,0.633378,0.658499,0.490868,0.659013,0.657987,True
0.4,0.654361,0.486282,0.714667,0.60344,,,,,False
0.45,0.646836,0.478017,0.745468,0.571254,,,,,False
0.5,0.632164,0.462164,0.775567,0.533517,,,,,False
0.55,0.607288,0.436047,0.807348,0.486688,,,,,False
0.6,0.574224,0.402745,0.838163,0.436705,,,,,False
0.65,0.542327,0.37205,0.865068,0.394971,,,,,False
0.7,0.506169,0.33884,0.892865,0.3532,,,,,False
0.75,0.460047,0.298741,0.918282,0.3069,,,,,False
0.8,0.394444,0.245674,0.940079,0.249582,,,,,False
0.85,0.303227,0.178708,0.958271,0.180109,,,,,False
0.9,0.167392,0.091341,0.973401,0.091569,,,,,False
0.95,0.017633,0.008895,0.977047,0.008897,,,,,False
