threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.462147,0.300514,0.302273,0.981006,,,,,False
0.1,0.525259,0.35617,0.362779,0.951339,,,,,False
0.15,0.566131,0.394828,0.408768,0.920492,,,,,False
0.2,0.607163,0.435918,0.475061,0.841033,,,,,False
0.25,0.629811,0.459653,0.539786,0.755874,,,,,False
0.3,0.650829,0.482392,0.590704,0.724581,,,,,False
0.35,0.66225,0.495048,0.629931,0.698064,,,,,False
0.4,0.666613,0.49994,0.654749,0.678915,,,,,False
0.45,0.669402,0.503084,0.677916,0.6611,,,,,False
0.5,0.670573,0.504408,0.697653,0.645516,0.648949,0.480329,0.639777,0.658387,True
0.55,0.670345,0.504149,0.716718,0.629607,,,,,False
0.6,0.667546,0.50099,0.737735,0.609553,,,,,False
0.65,0.659214,0.491662,0.765038,0.579109,,,,,False
0.7,0.639775,0.470345,0.799522,0.533234,,,,,False
0.75,0.605673,0.434384,0.836697,0.474623,,,,,False
0.8,0.561072,0.389924,0.869463,0.41417,,,,,False
0.85,0.511065,0.343242,0.89893,0.35702,,,,,False
0.9,0.438417,0.280752,0.931318,0.286688,,,,,False
0.95,0.271566,0.157117,0.961497,0.158112,,,,,False
