split_type,heldout_fp,check,status,detail
standard,fp1,row_count_train,INFO,743
standard,fp1,row_count_validation,INFO,187
standard,fp1,row_count_test,INFO,137
standard,fp1,test_flight_path_correct,PASS,0 wrong-fp rows in test
standard,fp1,train_no_heldout_fp,PASS,0 leaked rows
standard,fp1,validation_no_heldout_fp,PASS,0 leaked rows
standard,fp1,train_val_tile_name_overlap,PASS,0 overlapping tile_names
standard,fp1,train_test_tile_name_overlap,INFO,1 overlapping tile_names
standard,fp1,validation_test_tile_name_overlap,INFO,0 overlapping tile_names
standard,fp1,train_duplicate_tile_name,WARN,202 duplicates
standard,fp1,train_duplicate_uavsar_path,PASS,0 duplicates
standard,fp1,validation_duplicate_tile_name,WARN,47 duplicates
standard,fp1,validation_duplicate_uavsar_path,PASS,0 duplicates
standard,fp1,test_duplicate_tile_name,PASS,0 duplicates
standard,fp1,test_duplicate_uavsar_path,PASS,0 duplicates
standard,fp1,train_uavsar_path_paths_exist,PASS,0/743 missing
standard,fp1,train_flood_mask_path_paths_exist,PASS,0/743 missing
standard,fp1,train_land_cover_mask_path_paths_exist,PASS,0/743 missing
standard,fp1,validation_uavsar_path_paths_exist,PASS,0/187 missing
standard,fp1,validation_flood_mask_path_paths_exist,PASS,0/187 missing
standard,fp1,validation_land_cover_mask_path_paths_exist,PASS,0/187 missing
standard,fp1,test_uavsar_path_paths_exist,PASS,0/137 missing
standard,fp1,test_flood_mask_path_paths_exist,PASS,0/137 missing
standard,fp1,test_land_cover_mask_path_paths_exist,PASS,0/137 missing
standard,fp1,train_mask_validity,INFO,total=743 with_flood=743 no_flood=0 missing=0 pos_px=11390829 neg_px=37302419
standard,fp1,validation_mask_validity,INFO,total=187 with_flood=187 no_flood=0 missing=0 pos_px=3276486 neg_px=8978746
standard,fp1,test_mask_validity,INFO,total=137 with_flood=137 no_flood=0 missing=0 pos_px=1253829 neg_px=7724603
standard,fp2,row_count_train,INFO,742
standard,fp2,row_count_validation,INFO,187
standard,fp2,row_count_test,INFO,138
standard,fp2,test_flight_path_correct,PASS,0 wrong-fp rows in test
standard,fp2,train_no_heldout_fp,PASS,0 leaked rows
standard,fp2,validation_no_heldout_fp,PASS,0 leaked rows
standard,fp2,train_val_tile_name_overlap,PASS,0 overlapping tile_names
standard,fp2,train_test_tile_name_overlap,INFO,16 overlapping tile_names
standard,fp2,validation_test_tile_name_overlap,FAIL,3 overlapping tile_names
standard,fp2,train_duplicate_tile_name,WARN,184 duplicates
standard,fp2,train_duplicate_uavsar_path,PASS,0 duplicates
standard,fp2,validation_duplicate_tile_name,WARN,47 duplicates
standard,fp2,validation_duplicate_uavsar_path,PASS,0 duplicates
standard,fp2,test_duplicate_tile_name,PASS,0 duplicates
standard,fp2,test_duplicate_uavsar_path,PASS,0 duplicates
standard,fp2,train_uavsar_path_paths_exist,PASS,0/742 missing
standard,fp2,train_flood_mask_path_paths_exist,PASS,0/742 missing
standard,fp2,train_land_cover_mask_path_paths_exist,PASS,0/742 missing
standard,fp2,validation_uavsar_path_paths_exist,PASS,0/187 missing
standard,fp2,validation_flood_mask_path_paths_exist,PASS,0/187 missing
standard,fp2,validation_land_cover_mask_path_paths_exist,PASS,0/187 missing
standard,fp2,test_uavsar_path_paths_exist,PASS,0/138 missing
standard,fp2,test_flood_mask_path_paths_exist,PASS,0/138 missing
standard,fp2,test_land_cover_mask_path_paths_exist,PASS,0/138 missing
standard,fp2,train_mask_validity,INFO,total=742 with_flood=742 no_flood=0 missing=0 pos_px=10499742 neg_px=38127970
standard,fp2,validation_mask_validity,INFO,total=187 with_flood=187 no_flood=0 missing=0 pos_px=2888560 neg_px=9366672
standard,fp2,test_mask_validity,INFO,total=138 with_flood=138 no_flood=0 missing=0 pos_px=2532842 neg_px=6511126
standard,fp3,row_count_train,INFO,722
standard,fp3,row_count_validation,INFO,181
standard,fp3,row_count_test,INFO,164
standard,fp3,test_flight_path_correct,PASS,0 wrong-fp rows in test
standard,fp3,train_no_heldout_fp,PASS,0 leaked rows
standard,fp3,validation_no_heldout_fp,PASS,0 leaked rows
standard,fp3,train_val_tile_name_overlap,PASS,0 overlapping tile_names
standard,fp3,train_test_tile_name_overlap,INFO,71 overlapping tile_names
standard,fp3,validation_test_tile_name_overlap,FAIL,17 overlapping tile_names
standard,fp3,train_duplicate_tile_name,WARN,134 duplicates
standard,fp3,train_duplicate_uavsar_path,PASS,0 duplicates
standard,fp3,validation_duplicate_tile_name,WARN,28 duplicates
standard,fp3,validation_duplicate_uavsar_path,PASS,0 duplicates
standard,fp3,test_duplicate_tile_name,PASS,0 duplicates
standard,fp3,test_duplicate_uavsar_path,PASS,0 duplicates
standard,fp3,train_uavsar_path_paths_exist,PASS,0/722 missing
standard,fp3,train_flood_mask_path_paths_exist,PASS,0/722 missing
standard,fp3,train_land_cover_mask_path_paths_exist,PASS,0/722 missing
standard,fp3,validation_uavsar_path_paths_exist,PASS,0/181 missing
standard,fp3,validation_flood_mask_path_paths_exist,PASS,0/181 missing
standard,fp3,validation_land_cover_mask_path_paths_exist,PASS,0/181 missing
standard,fp3,test_uavsar_path_paths_exist,PASS,0/164 missing
standard,fp3,test_flood_mask_path_paths_exist,PASS,0/164 missing
standard,fp3,test_land_cover_mask_path_paths_exist,PASS,0/164 missing
standard,fp3,train_mask_validity,INFO,total=722 with_flood=722 no_flood=0 missing=0 pos_px=10392894 neg_px=36924098
standard,fp3,validation_mask_validity,INFO,total=181 with_flood=181 no_flood=0 missing=0 pos_px=2443334 neg_px=9418682
standard,fp3,test_mask_validity,INFO,total=164 with_flood=164 no_flood=0 missing=0 pos_px=3084916 neg_px=7662988
standard,fp4,row_count_train,INFO,709
standard,fp4,row_count_validation,INFO,177
standard,fp4,row_count_test,INFO,181
standard,fp4,test_flight_path_correct,PASS,0 wrong-fp rows in test
standard,fp4,train_no_heldout_fp,PASS,0 leaked rows
standard,fp4,validation_no_heldout_fp,PASS,0 leaked rows
standard,fp4,train_val_tile_name_overlap,PASS,0 overlapping tile_names
standard,fp4,train_test_tile_name_overlap,INFO,128 overlapping tile_names
standard,fp4,validation_test_tile_name_overlap,FAIL,33 overlapping tile_names
standard,fp4,train_duplicate_tile_name,WARN,66 duplicates
standard,fp4,train_duplicate_uavsar_path,PASS,0 duplicates
standard,fp4,validation_duplicate_tile_name,WARN,23 duplicates
standard,fp4,validation_duplicate_uavsar_path,PASS,0 duplicates
standard,fp4,test_duplicate_tile_name,PASS,0 duplicates
standard,fp4,test_duplicate_uavsar_path,PASS,0 duplicates
standard,fp4,train_uavsar_path_paths_exist,PASS,0/709 missing
standard,fp4,train_flood_mask_path_paths_exist,PASS,0/709 missing
standard,fp4,train_land_cover_mask_path_paths_exist,PASS,0/709 missing
standard,fp4,validation_uavsar_path_paths_exist,PASS,0/177 missing
standard,fp4,validation_flood_mask_path_paths_exist,PASS,0/177 missing
standard,fp4,validation_land_cover_mask_path_paths_exist,PASS,0/177 missing
standard,fp4,test_uavsar_path_paths_exist,PASS,0/181 missing
standard,fp4,test_flood_mask_path_paths_exist,PASS,0/181 missing
standard,fp4,test_land_cover_mask_path_paths_exist,PASS,0/181 missing
standard,fp4,train_mask_validity,INFO,total=709 with_flood=709 no_flood=0 missing=0 pos_px=10565809 neg_px=35899215
standard,fp4,validation_mask_validity,INFO,total=177 with_flood=177 no_flood=0 missing=0 pos_px=3316427 neg_px=8283445
standard,fp4,test_mask_validity,INFO,total=181 with_flood=181 no_flood=0 missing=0 pos_px=2038908 neg_px=9823108
standard,fp5,row_count_train,INFO,726
standard,fp5,row_count_validation,INFO,181
standard,fp5,row_count_test,INFO,160
standard,fp5,test_flight_path_correct,PASS,0 wrong-fp rows in test
standard,fp5,train_no_heldout_fp,PASS,0 leaked rows
standard,fp5,validation_no_heldout_fp,PASS,0 leaked rows
standard,fp5,train_val_tile_name_overlap,PASS,0 overlapping tile_names
standard,fp5,train_test_tile_name_overlap,INFO,71 overlapping tile_names
standard,fp5,validation_test_tile_name_overlap,FAIL,14 overlapping tile_names
standard,fp5,train_duplicate_tile_name,WARN,131 duplicates
standard,fp5,train_duplicate_uavsar_path,PASS,0 duplicates
standard,fp5,validation_duplicate_tile_name,WARN,34 duplicates
standard,fp5,validation_duplicate_uavsar_path,PASS,0 duplicates
standard,fp5,test_duplicate_tile_name,PASS,0 duplicates
standard,fp5,test_duplicate_uavsar_path,PASS,0 duplicates
standard,fp5,train_uavsar_path_paths_exist,PASS,0/726 missing
standard,fp5,train_flood_mask_path_paths_exist,PASS,0/726 missing
standard,fp5,train_land_cover_mask_path_paths_exist,PASS,0/726 missing
standard,fp5,validation_uavsar_path_paths_exist,PASS,0/181 missing
standard,fp5,validation_flood_mask_path_paths_exist,PASS,0/181 missing
standard,fp5,validation_land_cover_mask_path_paths_exist,PASS,0/181 missing
standard,fp5,test_uavsar_path_paths_exist,PASS,0/160 missing
standard,fp5,test_flood_mask_path_paths_exist,PASS,0/160 missing
