run_name,script_name,model_architecture,heldout_fp,split_type,dataset_version,input_bands,target_mask,loss_function,optimizer,learning_rate,weight_decay,batch_size,base_channels,epochs,seed,augmentation,checkpoint_selection,test_dice_default05,test_iou_default05,test_precision_default05,test_recall_default05,metric_source_default05,selected_threshold,val_dice_at_selected_threshold,val_iou_at_selected_threshold,test_dice_sweep,test_iou_sweep,test_precision_sweep,test_recall_sweep,metric_source_sweep,notes
filtered_strict_fp1_unet_20epochs,train_unet_baseline.py,plain_unet,fp1,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,"bce (BCEWithLogitsLoss, unweighted)",Adam,1e-3,0 (default Adam),8,32,20,42,False,val_loss,0.3618,0.2415,n/a,n/a,training_script_batch_average (threshold=0.5),0.25,0.675155,0.50961,0.520508,0.351816,0.459738,0.599792,threshold_sweep_global_pixel (val-selected threshold),Train/val history in results/filtered_strict_{fp}_unet_20epochs_metrics.csv (no test row); test at 0.5 from filtered_strict_20epoch_test_summary.csv; threshold sweep via threshold_sweep_baseline.py
filtered_strict_fp2_unet_20epochs,train_unet_baseline.py,plain_unet,fp2,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,"bce (BCEWithLogitsLoss, unweighted)",Adam,1e-3,0 (default Adam),8,32,20,42,False,val_loss,0.6129,0.4771,n/a,n/a,training_script_batch_average (threshold=0.5),0.35,0.642701,0.473515,0.744511,0.593005,0.744658,0.744365,threshold_sweep_global_pixel (val-selected threshold),Train/val history in results/filtered_strict_{fp}_unet_20epochs_metrics.csv (no test row); test at 0.5 from filtered_strict_20epoch_test_summary.csv; threshold sweep via threshold_sweep_baseline.py
filtered_strict_fp3_unet_20epochs,train_unet_baseline.py,plain_unet,fp3,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,"bce (BCEWithLogitsLoss, unweighted)",Adam,1e-3,0 (default Adam),8,32,20,42,False,val_loss,0.5155,0.3741,n/a,n/a,training_script_batch_average (threshold=0.5),0.35,0.655335,0.487359,0.626408,0.456036,0.748292,0.538668,threshold_sweep_global_pixel (val-selected threshold),Train/val history in results/filtered_strict_{fp}_unet_20epochs_metrics.csv (no test row); test at 0.5 from filtered_strict_20epoch_test_summary.csv; threshold sweep via threshold_sweep_baseline.py
filtered_strict_fp4_unet_20epochs,train_unet_baseline.py,plain_unet,fp4,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,"bce (BCEWithLogitsLoss, unweighted)",Adam,1e-3,0 (default Adam),8,32,20,42,False,val_loss,0.3742,0.2618,n/a,n/a,training_script_batch_average (threshold=0.5),0.5,0.677419,0.512195,0.465657,0.30349,0.528774,0.416001,threshold_sweep_global_pixel (val-selected threshold),Train/val history in results/filtered_strict_{fp}_unet_20epochs_metrics.csv (no test row); test at 0.5 from filtered_strict_20epoch_test_summary.csv; threshold sweep via threshold_sweep_baseline.py
filtered_strict_fp5_unet_20epochs,train_unet_baseline.py,plain_unet,fp5,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,"bce (BCEWithLogitsLoss, unweighted)",Adam,1e-3,0 (default Adam),8,32,20,42,False,val_loss,0.5506,0.4012,n/a,n/a,training_script_batch_average (threshold=0.5),0.25,0.634277,0.464425,0.672539,0.506636,0.610924,0.747977,threshold_sweep_global_pixel (val-selected threshold),Train/val history in results/filtered_strict_{fp}_unet_20epochs_metrics.csv (no test row); test at 0.5 from filtered_strict_20epoch_test_summary.csv; threshold sweep via threshold_sweep_baseline.py
filtered_strict_fp6_unet_20epochs,train_unet_baseline.py,plain_unet,fp6,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,"bce (BCEWithLogitsLoss, unweighted)",Adam,1e-3,0 (default Adam),8,32,20,42,False,val_loss,0.4165,0.2928,n/a,n/a,training_script_batch_average (threshold=0.5),0.3,0.688111,0.524519,0.600778,0.429365,0.693959,0.529658,threshold_sweep_global_pixel (val-selected threshold),Train/val history in results/filtered_strict_{fp}_unet_20epochs_metrics.csv (no test row); test at 0.5 from filtered_strict_20epoch_test_summary.csv; threshold sweep via threshold_sweep_baseline.py
filtered_strict_fp7_unet_20epochs,train_unet_baseline.py,plain_unet,fp7,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,3-band SAR,flood_change_mask,"bce (BCEWithLogitsLoss, unweighted)",Adam,1e-3,0 (default Adam),8,32,20,42,False,val_loss,0.2709,0.1764,n/a,n/a,training_script_batch_average (threshold=0.5),0.3,0.677865,0.512705,0.557049,0.386048,0.679949,0.471775,threshold_sweep_global_pixel (val-selected threshold),Train/val history in results/filtered_strict_{fp}_unet_20epochs_metrics.csv (no test row); test at 0.5 from filtered_strict_20epoch_test_summary.csv; threshold sweep via threshold_sweep_baseline.py
experiment_fp1_bce_dice_aug_20epochs,train_unet_experiment.py,plain_unet,fp1,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,"3-band SAR (HH, HV, VV or first 3 bands)",flood_change_mask,bce_dice (BCEWithLogitsLoss + soft DiceLoss),Adam,1e-3,0 (default Adam),8,32,20,42,True,val_loss,0.468223,0.334031,n/a,n/a,training_script_batch_average (threshold=0.5),0.4,0.685294,0.521253,0.509443,0.34178,0.427371,0.630529,threshold_sweep_global_pixel (val-selected threshold),fp1 only; swept via threshold_sweep_single_checkpoint.py; test row saved in results/experiment_fp1_bce_dice_aug_20epochs_metrics.csv
experiment_fp1_bce_dice_noaug_20epochs,train_unet_experiment.py,plain_unet,fp1,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,"3-band SAR (HH, HV, VV or first 3 bands)",flood_change_mask,bce_dice (BCEWithLogitsLoss + soft DiceLoss),Adam,1e-3,0 (default Adam),8,32,20,42,False,val_loss,0.442613,0.308548,n/a,n/a,training_script_batch_average (threshold=0.5),0.55,0.689802,0.526486,0.487878,0.322645,0.381455,0.676664,threshold_sweep_global_pixel (val-selected threshold),fp1 only; swept via threshold_sweep_single_checkpoint.py; test row saved in results/experiment_fp1_bce_dice_noaug_20epochs_metrics.csv
experiment_fp1_bce_valdice_noaug_20epochs,train_unet_experiment.py,plain_unet,fp1,IEEE PNG-filtered strict no-overlap leave-one-flight-path-out splits,IEEE PNG-filtered,"3-band SAR (HH, HV, VV or first 3 bands)",flood_change_mask,bce (BCEWithLogitsLoss),Adam,1e-3,0 (default Adam),8,32,20,42,False,val_dice,0.420569,0.300336,n/a,n/a,training_script_batch_average (threshold=0.5),0.35,0.690746,0.527587,0.494988,0.328893,0.414084,0.615183,threshold_sweep_global_pixel (val-selected threshold),fp1 only; swept via threshold_sweep_single_checkpoint.py; test row saved in results/experiment_fp1_bce_valdice_noaug_20epochs_metrics.csv
