run_name,category,model_architecture,heldout_fp,loss_function,augmentation,checkpoint_selection,metric_source,threshold,test_dice,test_iou,test_precision,test_recall,val_dice_at_threshold,val_iou_at_threshold
filtered_strict_fp1_unet_20epochs,plain_unet_tuning,plain_unet,fp1,"bce (BCEWithLogitsLoss, unweighted)",False,val_loss,default_0.5_training_script_batch_average,0.5,0.3618,0.2415,n/a,n/a,,
filtered_strict_fp1_unet_20epochs,plain_unet_tuning,plain_unet,fp1,"bce (BCEWithLogitsLoss, unweighted)",False,val_loss,threshold_sweep_global_pixel,0.25,0.520508,0.351816,0.459738,0.599792,0.675155,0.50961
filtered_strict_fp2_unet_20epochs,plain_unet_tuning,plain_unet,fp2,"bce (BCEWithLogitsLoss, unweighted)",False,val_loss,default_0.5_training_script_batch_average,0.5,0.6129,0.4771,n/a,n/a,,
filtered_strict_fp2_unet_20epochs,plain_unet_tuning,plain_unet,fp2,"bce (BCEWithLogitsLoss, unweighted)",False,val_loss,threshold_sweep_global_pixel,0.35,0.744511,0.593005,0.744658,0.744365,0.642701,0.473515
filtered_strict_fp3_unet_20epochs,plain_unet_tuning,plain_unet,fp3,"bce (BCEWithLogitsLoss, unweighted)",False,val_loss,default_0.5_training_script_batch_average,0.5,0.5155,0.3741,n/a,n/a,,
filtered_strict_fp3_unet_20epochs,plain_unet_tuning,plain_unet,fp3,"bce (BCEWithLogitsLoss, unweighted)",False,val_loss,threshold_sweep_global_pixel,0.35,0.626408,0.456036,0.748292,0.538668,0.655335,0.487359
filtered_strict_fp4_unet_20epochs,plain_unet_tuning,plain_unet,fp4,"bce (BCEWithLogitsLoss, unweighted)",False,val_loss,default_0.5_training_script_batch_average,0.5,0.3742,0.2618,n/a,n/a,,
filtered_strict_fp4_unet_20epochs,plain_unet_tuning,plain_unet,fp4,"bce (BCEWithLogitsLoss, unweighted)",False,val_loss,threshold_sweep_global_pixel,0.5,0.465657,0.30349,0.528774,0.416001,0.677419,0.512195
filtered_strict_fp5_unet_20epochs,plain_unet_tuning,plain_unet,fp5,"bce (BCEWithLogitsLoss, unweighted)",False,val_loss,default_0.5_training_script_batch_average,0.5,0.5506,0.4012,n/a,n/a,,
filtered_strict_fp5_unet_20epochs,plain_unet_tuning,plain_unet,fp5,"bce (BCEWithLogitsLoss, unweighted)",False,val_loss,threshold_sweep_global_pixel,0.25,0.672539,0.506636,0.610924,0.747977,0.634277,0.464425
filtered_strict_fp6_unet_20epochs,plain_unet_tuning,plain_unet,fp6,"bce (BCEWithLogitsLoss, unweighted)",False,val_loss,default_0.5_training_script_batch_average,0.5,0.4165,0.2928,n/a,n/a,,
